345474.2367078938	9119349.722578041	485.7
345474.2291335149	9119351.793582201	485.6
345474.2155637844	9119354.917332157	485.5
345474.20674529986	9119356.997621205	485.5
345474.198600485	9119359.561941668	485.4
345475.00317576586	9119361.503661828	485.3
345475.40052839357	9119364.027335191	485.2
345475.7995149685	9119366.036684752	485.2
345476.19617178023	9119368.570529517	485.1
345476.18815368		9119370.642416816	485.0
345476.1802537123	9119372.711982235	485.0
345476.17048929754	9119375.298856445	485.0
345476.16281247244	9119377.367648523	485.0
345476.5621105257	9119379.382749498	485.0
345476.55289515236	9119381.970289065	485.0
345476.94988002616	9119384.505019564	485.0
345477.7562768132	9119386.982639063	485.0
345477.7525498478	9119388.016703716	485.0
345477.73939507164	9119391.635984914	485.0
345478.1360400347	9119394.693669137	485.0
345478.5312590353	9119398.2694377		485.0
345478.5213813954	9119400.857306736	485.0
345479.32948594424	9119403.351630198	485.0
345479.3234365004	9119404.908088956	485.1
345480.1305389025	9119407.925585067	485.2
345480.5293239315	9119410.482327884	485.2
345481.338822608	9119412.988267368	485.3
345481.73818715		9119416.056908557	485.4
345482.1418469763	9119418.086400142	485.4
345482.5478154925	9119419.59758919	485.4
345482.94958562375	9119422.15190919	485.5
345483.35419121594	9119423.674926154	485.6
345484.167380849	9119426.197908059	485.6
345484.57409386407	9119427.717172263	485.6
345485.3881438527	9119430.246570945	485.7
345486.60750475584	9119434.318672946	485.8
345487.84181087615	9119436.291486213	485.8
345488.66446253104	9119438.299949564	485.9
345489.4863296299	9119440.83247096	485.9
345490.3111656666	9119442.847023813	485.9
345491.1351035597	9119445.386629583	486.0
345491.5446325578	9119447.44113297	486.1
345492.3693127121	9119449.98947739	486.1
345493.60920454643	9119451.485578818	486.1
345494.4312815246	9119454.053930162	486.2
345495.255460958	9119457.140267164	486.3
345496.0856202579	9119459.69847205	486.3
345496.9177577171	9119461.73826271	486.3
345497.33032143326	9119464.328558933	486.4
345498.16354047996	9119466.374545949	486.5
345498.9961840011	9119468.948019817	486.5
345499.8257026541	9119471.532762693	486.6
345501.08030058583	9119473.048708266	486.6
345502.3311913281	9119476.14600185	486.6
345503.16632212896	9119478.213559175	486.7
345504.00043052575	9119480.81037118	486.7
345504.83730850683	9119482.882910673	486.8
345506.09621964965	9119485.468113687	486.8
345506.9405071399	9119487.013521165	486.8
345508.20753535617	9119490.65151752	486.9
345509.4832267057	9119492.70962019	486.9
345510.33433067484	9119494.260579895	487.0
345511.61195013346	9119496.855688086	487.0
345512.8939953353	9119498.925755277	487.0
345513.7476829379	9119501.015492063	487.0
345514.60268415464	9119503.107997885	487.1
345515.4588887433	9119505.20327237	487.1
345516.3158553663	9119507.301424608	487.1
345517.1741352292	9119509.402456466	487.1
345518.03203562216	9119512.038274376	487.1
345518.8911360471	9119514.677856196	487.1
345519.3195179835	9119516.797667783	487.1
345520.1802114408	9119519.975581018	487.2
345520.6103863071	9119521.566472268	487.2
345521.9012378148	9119524.746617539	487.1
345523.19537840073	9119527.932192534	487.2
345524.055283166	9119530.594889048	487.2
345524.4794843827	9119533.265287291	487.3
345524.90522417816	9119535.937128333	487.3
345525.3332757407	9119538.609972455	487.4
345526.20130841713	9119541.281653764	487.5
345527.07098246727	9119543.95698989	487.6
345527.50435654947	9119546.100372706	487.6
345528.81685382547	9119548.78174357	487.7
345529.6918944516	9119551.467603315	487.8
345530.5682457314	9119554.157116756	487.9
345531.00208079274	9119556.847673858	488.0
345531.87774837343	9119559.543819997	488.0
345532.7563320361	9119561.704856899	488.0
345533.1930709515	9119563.863953989	488.0
345533.63013540336	9119566.024600353	488.0
345534.06752576516	9119568.186685408	488.0
345535.3903111225	9119571.443462625	488.0
345535.82878758514	9119573.61041704	488.0
345536.26770057465	9119575.778699934	488.0
345537.5949613117	9119579.048762335	488.0
345538.4797931183	9119581.773580654	488.0
345539.812819485	9119584.513519706	488.0
345540.2555186079	9119586.150234979	488.0
345541.1441391394	9119588.342711579	488.0
345542.4823056544	9119591.094942797	488.0
345543.8221106073	9119593.851713464	488.0
345544.26687874395	9119595.496066		488.0
345545.6122473631	9119597.71718345	488.0
345546.9587321264	9119600.487357326	488.0
345548.30936077924	9119602.71789216	488.0
345549.66251088574	9119604.95263769	488.0
345551.0197016783	9119606.645642733	488.0
345552.83302027924	9119608.908155955	488.0
345554.19624760456	9119610.609143406	488.0
345555.563966593	9119611.765406132	488.0
345557.8519523961	9119612.965260958	488.0
345559.6866792619	9119614.147987444	488.0
345561.0648451712	9119615.312026279	488.0
345563.3704331411	9119616.522777703	488.0
345564.759483533	9119616.589300867	488.0
345566.1477693415	9119617.760008877	488.0
345568.00416913966	9119618.956078539	488.0
345570.3343025849	9119619.625158636	488.0
345572.20369445137	9119620.272993555	488.0
345574.0762710905	9119621.477632746	488.0
345576.42633438983	9119622.15385743	488.0
345578.31024618726	9119623.3643958		488.1
345580.6705155928	9119625.160766412	488.1
345583.0424864157	9119625.84613286	488.1
345584.943560928	9119627.06712399	488.2
345585.89596801176	9119627.678897578	488.2
345588.76077994274	9119629.518999042	488.3
345590.6787145828	9119630.188893277	488.3
345594.52919925156	9119632.095808879	488.4
345597.4283403363	9119633.955710031	488.5
345600.34127707774	9119635.25786892	488.6
345602.7749176972	9119637.102038028	488.6
345604.2406851095	9119637.758014515	488.5
345606.1983110989	9119639.012703253	488.5
345608.1613258994	9119640.271280602	488.5
345610.1276918158	9119642.102808034	488.5
345611.6047845583	9119643.90680137	488.5
345613.5789992581	9119646.317929087	488.5
345615.0590301638	9119649.272564998	488.5
345616.5482660722	9119650.518478738	488.5
345617.53559744486	9119653.448223019	488.4
345619.0294832741	9119655.2742792		488.4
345620.022696331	9119657.639287744	488.3
345621.5193576886	9119660.045590589	488.3
345623.5255127185	9119662.498516208	488.2
345624.52639517095	9119664.877705378	488.2
345625.52903187054	9119667.259775646	488.2
345626.0258616784	9119669.027494235	488.2
345627.0226908613	9119671.98513759	488.1
345627.5157272851	9119674.905577116	488.1
345628.51737779065	9119677.871972902	488.1
345629.525008381	9119679.691073721	488.1
345630.0207708331	9119682.620479753	488.1
345631.0307005816	9119684.444343429	488.2
345632.0351692166	9119687.425124587	488.2
345633.5496680497	9119690.45695358	488.3
345634.0518487182	9119692.239950756	488.3
345635.06287047314	9119694.65301267	488.4
345636.07936281513	9119696.492380207	488.4
345637.60219503305	9119700.123716233	488.5
345638.619240047	9119702.548741529	488.5
345639.6375983497	9119704.976646423	488.6
345640.6580363887	9119707.408981701	488.6
345642.1975116494	9119709.902126623	488.6
345643.7401661216	9119712.400590284	488.6
345644.7631145142	9119715.426551953	488.5
345645.79055504804	9119717.874724321	488.5
345646.8248055944	9119720.330328869	488.5
345647.859266271	9119722.78903045	488.4
345648.8950394923	9119725.2508328		488.4
345649.4095684743	9119727.652481575	488.4
345650.9700796094	9119730.184622968	488.3
345653.05381190876	9119731.607050158	488.3
345655.67419747263	9119731.92489546	488.2
345657.7829449312	9119731.005889194	488.1
345659.37289750314	9119729.433451466	488.1
345660.9692630039	9119727.269297332	488.0
345662.03634770587	9119725.627743298	488.0
345663.6473773206	9119723.462975252	487.9
345665.2762400699	9119721.305897886	487.9
345666.3686855321	9119719.076672636	487.8
345667.998234674	9119717.49828663	487.8
345669.09810940234	9119714.670160439	487.7
345671.26870367886	9119712.545770079	487.7
345673.44216196286	9119711.008151097	487.6
345675.0741922426	9119709.999283878	487.5
345676.7115557407	9119708.391950961	487.5
345678.91170963366	9119706.849224683	487.3
345680.55017630203	9119705.827772463	487.2
345682.7349196232	9119703.659306375	487.1
345684.92756972666	9119702.086033136	487.0
345687.12805841106	9119700.509358231	486.9
345688.78123152617	9119698.269755967	486.7
345690.4356390247	9119697.228673391	486.6
345692.64659796876	9119696.23890603	486.6
345694.8646810802	9119694.64260635	486.5
345697.0876164755	9119694.250810092	486.4
345699.3170601704	9119693.857819334	486.4
345702.1135954631	9119692.910065312	486.3
345703.79308332934	9119691.852479547	486.3
345707.15195551154	9119690.940356957	486.2
345709.9596595194	9119689.36352476	486.1
345713.34254353534	9119687.21979223	486.1
345716.18556744826	9119686.249193227	486.0
345718.4668656159	9119685.22516049	486.0
345720.751929087	9119684.19605351	486.0
345723.0431756833	9119683.164092164	486.0
345725.3446672492	9119681.515435338	486.0
345727.6485054117	9119680.47632842	486.0
345728.8049386315	9119679.339562524	486.0
